,Unnamed: 0,Model,Oversample,Scaler,Neighbors,precision,recall,f1-score,support
3,macro avg,K-Nearest Neighbors (kNN),False,PowerTransformer(),20,0.7280171935002697,0.8406231480384023,0.7516371917288825,4019.0
4,weighted avg,K-Nearest Neighbors (kNN),False,PowerTransformer(),20,0.8833536359288209,0.8136352326449365,0.8315739088263246,4019.0
0,Active,K-Nearest Neighbors (kNN),True,StandardScaler(),12,0.978401727861771,0.822639225181598,0.8937849391647484,3304.0
1,Inactive,K-Nearest Neighbors (kNN),True,StandardScaler(),12,0.5278001611603546,0.916083916083916,0.6697341513292433,715.0
2,accuracy,K-Nearest Neighbors (kNN),True,StandardScaler(),12,0.8392634983826822,0.8392634983826822,0.8392634983826822,0.8392634983826822
3,macro avg,K-Nearest Neighbors (kNN),True,StandardScaler(),12,0.7531009445110628,0.8693615706327571,0.7817595452469959,4019.0
4,weighted avg,K-Nearest Neighbors (kNN),True,StandardScaler(),12,0.8982374780007327,0.8392634983826822,0.8539251946257124,4019.0
0,Active,K-Nearest Neighbors (kNN),False,MaxAbsScaler(),4,0.9916047788182112,0.9294794188861986,0.9595375722543352,3304.0
1,Inactive,K-Nearest Neighbors (kNN),False,MaxAbsScaler(),4,0.7472885032537961,0.9636363636363636,0.8417837507635919,715.0
2,accuracy,K-Nearest Neighbors (kNN),False,MaxAbsScaler(),4,0.9355561084846976,0.9355561084846976,0.9355561084846976,0.9355561084846976
3,macro avg,K-Nearest Neighbors (kNN),False,MaxAbsScaler(),4,0.8694466410360037,0.9465578912612812,0.9006606615089636,4019.0
4,weighted avg,K-Nearest Neighbors (kNN),False,MaxAbsScaler(),4,0.9481397036680352,0.9355561084846976,0.9385885843553848,4019.0
0,Active,K-Nearest Neighbors (kNN),True,MinMaxScaler(),22,0.9596036585365854,0.7621065375302664,0.8495276653171391,3304.0
1,Inactive,K-Nearest Neighbors (kNN),True,MinMaxScaler(),22,0.4365591397849462,0.8517482517482518,0.5772511848341233,715.0
2,accuracy,K-Nearest Neighbors (kNN),True,MinMaxScaler(),22,0.778054242348843,0.778054242348843,0.778054242348843,0.778054242348843
3,macro avg,K-Nearest Neighbors (kNN),True,MinMaxScaler(),22,0.6980813991607658,0.806927394639259,0.7133894250756312,4019.0
4,weighted avg,K-Nearest Neighbors (kNN),True,MinMaxScaler(),22,0.8665514488059504,0.778054242348843,0.8010883312675355,4019.0
0,Active,K-Nearest Neighbors (kNN),True,StandardScaler(),9,0.9891507669285448,0.8002421307506054,0.8847247783168815,3304.0
1,Inactive,K-Nearest Neighbors (kNN),True,StandardScaler(),9,0.5096582466567607,0.9594405594405594,0.665696263949539,715.0
2,accuracy,K-Nearest Neighbors (kNN),True,StandardScaler(),9,0.8285643194824583,0.8285643194824583,0.8285643194824583,0.8285643194824583
3,macro avg,K-Nearest Neighbors (kNN),True,StandardScaler(),9,0.7494045067926527,0.8798413450955824,0.7752105211332102,4019.0
4,weighted avg,K-Nearest Neighbors (kNN),True,StandardScaler(),9,0.9038466733743458,0.8285643194824583,0.8457585210955204,4019.0
0,Active,Naive Bayes,True,PowerTransformer(),0,0.935986869101354,0.6903753026634383,0.7946350809963421,3304.0
1,Inactive,Naive Bayes,True,PowerTransformer(),0,0.3533501896333755,0.7818181818181819,0.4867218110579017,715.0
2,accuracy,Naive Bayes,True,PowerTransformer(),0,0.7066434436426972,0.7066434436426972,0.7066434436426972,0.7066434436426972
3,macro avg,Naive Bayes,True,PowerTransformer(),0,0.6446685293673649,0.73609674224081,0.6406784460271219,4019.0
